month,state_norm,district_resolved,demo_age_5_17,demo_age_17_
June 2025,haryana,kaithal,533,5141
June 2025,haryana,karnal,785,4536
June 2025,haryana,mahendragarh,123,1130
June 2025,haryana,palwal,1193,10108
June 2025,haryana,panchkula,337,1777
June 2025,haryana,rewari,676,4310
June 2025,haryana,rohtak,326,1776
June 2025,haryana,sirsa,534,5966
June 2025,haryana,sonipat,922,6678
June 2025,himachal pradesh,bilaspur,19,124
June 2025,himachal pradesh,sirmaur,343,3402
June 2025,jammu and kashmir,anantnag,181,1129
June 2025,jammu and kashmir,baramulla,312,2172
June 2025,jammu and kashmir,budgam,398,1014
June 2025,jammu and kashmir,jammu,22,326
June 2025,jammu and kashmir,kishtwar,161,727
June 2025,jammu and kashmir,kupwara,226,1618
June 2025,jammu and kashmir,pulwama,382,2296
June 2025,jammu and kashmir,samba,40,502
June 2025,karnataka,bagalkote,392,1045
June 2025,karnataka,ballari,350,1129
June 2025,karnataka,belagavi,309,1041
June 2025,karnataka,bidar,391,2079
June 2025,karnataka,chikkamagaluru,239,1146
June 2025,karnataka,chitradurga,317,1674
June 2025,karnataka,davanagere,629,2970
June 2025,karnataka,gadag,513,1008
June 2025,karnataka,hassan,529,2779
June 2025,karnataka,haveri,2012,7502
June 2025,karnataka,kalaburagi,1115,3620
June 2025,karnataka,kolar,80,483
June 2025,karnataka,koppal,1638,3853
June 2025,karnataka,mandya,500,3040
June 2025,karnataka,mysuru,95,373
June 2025,karnataka,raichur,393,990
June 2025,karnataka,tumakuru,171,617
June 2025,karnataka,vijayanagara,37,164
June 2025,karnataka,vijayapura,448,1336
June 2025,karnataka,yadgir,202,500
June 2025,madhya pradesh,agar malwa,54,570
June 2025,madhya pradesh,anuppur,116,492
June 2025,madhya pradesh,ashoknagar,441,2918
June 2025,madhya pradesh,balaghat,2576,9772
June 2025,madhya pradesh,barwani,575,2396
June 2025,madhya pradesh,betul,1312,3358
June 2025,madhya pradesh,bhind,878,3866
June 2025,madhya pradesh,bhopal,669,5140
June 2025,madhya pradesh,burhanpur,302,1442
June 2025,madhya pradesh,chhatarpur,780,4293
June 2025,madhya pradesh,chhindwara,2693,8367
June 2025,madhya pradesh,damoh,1358,7028
June 2025,madhya pradesh,dhar,990,4438
June 2025,madhya pradesh,dindori,2110,6412
June 2025,madhya pradesh,guna,869,6572
June 2025,madhya pradesh,gwalior,1049,7398
June 2025,madhya pradesh,harda,88,452
June 2025,madhya pradesh,indore,2944,17977
June 2025,madhya pradesh,jabalpur,308,2652
June 2025,madhya pradesh,mandla,1808,5158
June 2025,madhya pradesh,mandsaur,254,940
June 2025,madhya pradesh,morena,770,3356
June 2025,madhya pradesh,neemuch,280,1792
June 2025,madhya pradesh,panna,326,1492
June 2025,madhya pradesh,raisen,274,1045
June 2025,madhya pradesh,rajgarh,325,1044
June 2025,madhya pradesh,ratlam,1544,6866
June 2025,madhya pradesh,rewa,390,2620
June 2025,madhya pradesh,sagar,692,4197
June 2025,madhya pradesh,satna,1164,3768
June 2025,madhya pradesh,sehore,848,3141
June 2025,madhya pradesh,seoni,1184,4218
June 2025,madhya pradesh,shahdol,1358,5471
June 2025,madhya pradesh,shajapur,680,2850
June 2025,madhya pradesh,sheopur,1150,5812
June 2025,madhya pradesh,sidhi,1346,5951
June 2025,madhya pradesh,singrauli,538,1968
June 2025,madhya pradesh,ujjain,803,4608
June 2025,madhya pradesh,umaria,517,1964
June 2025,madhya pradesh,vidisha,851,2862
June 2025,maharashtra,akola,123,792
June 2025,maharashtra,amravati,336,1670
June 2025,maharashtra,beed,369,2267
June 2025,maharashtra,bhandara,66,568
June 2025,maharashtra,chandrapur,187,1714
June 2025,maharashtra,gadchiroli,98,1126
June 2025,maharashtra,gondia,423,3493
June 2025,maharashtra,jalgaon,246,1988
June 2025,maharashtra,mumbai suburban,577,4274
June 2025,maharashtra,nagpur,979,6422
June 2025,maharashtra,nandurbar,327,2545
June 2025,maharashtra,nashik,1036,6820
June 2025,maharashtra,pune,1940,14856
June 2025,maharashtra,raigad,226,2237
June 2025,maharashtra,sangli,218,2118
June 2025,maharashtra,thane,4415,33224
June 2025,maharashtra,washim,104,914
June 2025,maharashtra,yavatmal,198,1709
June 2025,mizoram,champhai,104,1580
June 2025,mizoram,lawngtlai,58,930
June 2025,punjab,amritsar,764,10554
June 2025,punjab,fazilka,84,1070
June 2025,punjab,gurdaspur,306,3434
June 2025,punjab,hoshiarpur,236,2910
June 2025,punjab,ludhiana,361,3933
June 2025,punjab,mansa,122,1610
June 2025,punjab,moga,150,1774
June 2025,punjab,pathankot,166,1652
June 2025,punjab,patiala,944,6456
June 2025,rajasthan,ajmer,1126,9338
June 2025,rajasthan,banswara,275,2270
June 2025,rajasthan,baran,127,979
June 2025,rajasthan,barmer,462,2978
June 2025,rajasthan,bikaner,246,2525
June 2025,rajasthan,churu,220,1662
June 2025,rajasthan,dholpur,755,3915
June 2025,rajasthan,ganganagar,238,2252
June 2025,rajasthan,hanumangarh,398,3915
June 2025,rajasthan,jaipur,1118,11069
June 2025,rajasthan,jodhpur,446,4754
June 2025,rajasthan,pali,112,1115
June 2025,rajasthan,pratapgarh,390,3586
June 2025,rajasthan,rajsamand,150,1644
June 2025,rajasthan,sikar,372,2722
June 2025,rajasthan,udaipur,354,3936
June 2025,tamil nadu,chennai,352,2780
June 2025,tamil nadu,coimbatore,184,1668
June 2025,tamil nadu,madurai,316,1750
June 2025,tamil nadu,thiruvallur,334,2804
June 2025,tamil nadu,virudhunagar,234,993
June 2025,telangana,adilabad,474,2480
June 2025,telangana,hyderabad,2931,18094
June 2025,telangana,jagitial,43,352
June 2025,telangana,jogulamba gadwal,744,2984
June 2025,telangana,kamareddy,89,585
June 2025,telangana,mahabubnagar,798,3212
June 2025,telangana,medchal malkajgiri,716,3311
June 2025,telangana,nirmal,252,1184
June 2025,telangana,nizamabad,160,742
June 2025,telangana,sangareddy,477,2372
June 2025,telangana,siddipet,206,966
June 2025,telangana,vikarabad,768,3058
June 2025,uttar pradesh,bara banki,284,5898
June 2025,uttar pradesh,bareilly,546,6684
June 2025,uttar pradesh,bijnor,686,7996
June 2025,uttar pradesh,bulandshahr,718,8980
June 2025,uttar pradesh,ghaziabad,1713,18975
June 2025,uttar pradesh,lucknow,261,3567
June 2025,uttar pradesh,mathura,290,3366
June 2025,uttar pradesh,mirzapur,458,5731
June 2025,uttar pradesh,moradabad,1776,20994
June 2025,uttar pradesh,muzaffarnagar,592,6770
June 2025,uttar pradesh,rampur,1337,21550
June 2025,uttar pradesh,saharanpur,354,4674
June 2025,uttar pradesh,shahjahanpur,1044,19660
June 2025,uttarakhand,dehradun,224,3428
June 2025,uttarakhand,haridwar,353,3176
June 2025,uttarakhand,tehri garhwal,242,2224
June 2025,uttarakhand,udham singh nagar,1407,10884
June 2025,west bengal,birbhum,242,2874
June 2025,west bengal,cooch behar,450,4032
June 2025,west bengal,malda,1892,16274
June 2025,west bengal,murshidabad,2378,25024
June 2025,west bengal,north parganas,96,935
June 2025,west bengal,purulia,160,1276
June 2025,west bengal,south parganas,1770,15535
June 2025,west bengal,uttar dinajpur,1323,13647
July 2025,andaman and nicobar islands,north and middle andaman,40,398
July 2025,andhra pradesh,anakapalli,84,472
July 2025,andhra pradesh,ananthapuramu,1146,5298
July 2025,andhra pradesh,annamayya,698,3056
July 2025,andhra pradesh,bapatla,160,896
July 2025,andhra pradesh,chittoor,1585,8823
July 2025,andhra pradesh,dr b r ambedkar konaseema,56,406
July 2025,andhra pradesh,east godavari,212,1861
July 2025,andhra pradesh,guntur,811,6107
July 2025,andhra pradesh,kakinada,275,1577
July 2025,andhra pradesh,krishna,101,847
July 2025,andhra pradesh,kurnool,2290,12045
July 2025,andhra pradesh,nandyal,790,3142
July 2025,andhra pradesh,palnadu,236,1289
July 2025,andhra pradesh,parvathipuram manyam,70,310
July 2025,andhra pradesh,prakasam,232,1052
July 2025,andhra pradesh,sri potti sriramulu nellore,176,1050
July 2025,andhra pradesh,sri sathya sai,324,1240
July 2025,andhra pradesh,srikakulam,597,3876
July 2025,andhra pradesh,tirupati,786,4134
July 2025,andhra pradesh,visakhapatnam,317,2087
July 2025,andhra pradesh,vizianagaram,134,1302
July 2025,andhra pradesh,west godavari,701,5709
July 2025,assam,barpeta,678,5327
July 2025,assam,bongaigaon,636,5760
July 2025,assam,cachar,154,1628
July 2025,assam,dhubri,695,5012
July 2025,assam,goalpara,917,5700
July 2025,assam,hailakandi,76,703
July 2025,assam,hojai,406,3022
July 2025,assam,kamrup,332,2750
July 2025,assam,marigaon,105,1023
July 2025,assam,nagaon,438,3856
July 2025,assam,south salmara mancachar,300,4930
July 2025,bihar,darbhanga,237,2356
July 2025,bihar,kishanganj,391,5533
July 2025,chandigarh,chandigarh,2093,9487
July 2025,chhattisgarh,balod,719,4683
July 2025,chhattisgarh,bastar,662,4730
July 2025,chhattisgarh,bilaspur,1952,15090
July 2025,chhattisgarh,dhamtari,545,4283
July 2025,chhattisgarh,durg,1239,5414
July 2025,chhattisgarh,janjgir champa,736,7424
July 2025,chhattisgarh,jashpur,544,5341
July 2025,chhattisgarh,kabeerdham,326,2027
July 2025,chhattisgarh,khairagarh chhuikhadan gandai,177,1446
July 2025,chhattisgarh,korba,1601,14188
July 2025,chhattisgarh,mahasamund,1133,9115
July 2025,chhattisgarh,mohla manpur ambagarh chouki,667,2692
July 2025,chhattisgarh,mungeli,912,13253
July 2025,chhattisgarh,narayanpur,982,8844
July 2025,chhattisgarh,raigarh,423,3506
July 2025,chhattisgarh,raipur,1036,7955
July 2025,chhattisgarh,rajnandgaon,296,1606
July 2025,chhattisgarh,surguja,1582,18539
July 2025,delhi,shahdara,1628,5274
July 2025,gujarat,ahmedabad,1283,10925
July 2025,gujarat,gandhinagar,824,7150
July 2025,gujarat,kachchh,766,6658
July 2025,gujarat,morbi,868,4646
July 2025,gujarat,narmada,158,761
July 2025,gujarat,patan,124,1009
July 2025,gujarat,rajkot,1052,11434
July 2025,gujarat,surat,3862,34016
July 2025,gujarat,vadodara,236,2371
July 2025,haryana,ambala,107,578
July 2025,haryana,bhiwani,246,1395
July 2025,haryana,charkhi dadri,144,747
July 2025,haryana,faridabad,2311,15174
July 2025,haryana,fatehabad,902,6701
July 2025,haryana,hisar,1093,8506
July 2025,haryana,jhajjar,539,3838
July 2025,haryana,jind,462,3543
July 2025,haryana,kaithal,411,2404
July 2025,haryana,karnal,314,2261
July 2025,haryana,kurukshetra,388,2419
July 2025,haryana,mahendragarh,212,1577
July 2025,haryana,palwal,1715,11772
July 2025,haryana,panchkula,820,3873
July 2025,haryana,panipat,2228,12256
July 2025,haryana,rewari,112,716
July 2025,haryana,rohtak,202,1053
July 2025,haryana,sirsa,406,3486
July 2025,haryana,sonipat,695,4617
July 2025,himachal pradesh,sirmaur,83,744
July 2025,jammu and kashmir,anantnag,350,1813
July 2025,jammu and kashmir,bandipora,522,2274
July 2025,jammu and kashmir,baramulla,80,686
July 2025,jammu and kashmir,budgam,558,1851
July 2025,jammu and kashmir,ganderbal,82,714
July 2025,jammu and kashmir,kathua,78,1086
July 2025,jammu and kashmir,kishtwar,260,1102
July 2025,jammu and kashmir,kupwara,635,4063
July 2025,jammu and kashmir,pulwama,344,2267
July 2025,jammu and kashmir,srinagar,252,2791
July 2025,karnataka,ballari,656,2476
July 2025,karnataka,belagavi,106,692
July 2025,karnataka,bidar,309,1778
July 2025,karnataka,chamarajanagar,50,253
July 2025,karnataka,chitradurga,497,3245
July 2025,karnataka,dakshina kannada,42,273
July 2025,karnataka,davanagere,91,536
July 2025,karnataka,dharwad,729,3577
July 2025,karnataka,hassan,604,3475
July 2025,karnataka,haveri,1080,5192
July 2025,karnataka,kalaburagi,452,1867
July 2025,karnataka,kolar,598,3862
July 2025,karnataka,koppal,272,1040
July 2025,karnataka,raichur,945,3455
July 2025,karnataka,shivamogga,175,738
July 2025,karnataka,tumakuru,98,586
July 2025,karnataka,vijayanagara,116,920
July 2025,karnataka,vijayapura,160,605
July 2025,karnataka,yadgir,330,1152
July 2025,madhya pradesh,agar malwa,99,793
July 2025,madhya pradesh,anuppur,660,2395
July 2025,madhya pradesh,ashoknagar,1227,5315
July 2025,madhya pradesh,balaghat,1087,5213
July 2025,madhya pradesh,barwani,3102,10960
July 2025,madhya pradesh,betul,1428,3146
July 2025,madhya pradesh,bhind,1250,4766
July 2025,madhya pradesh,bhopal,927,6391
July 2025,madhya pradesh,burhanpur,619,2114
July 2025,madhya pradesh,chhatarpur,1082,2792
July 2025,madhya pradesh,chhindwara,3236,11251
July 2025,madhya pradesh,damoh,1363,5469
July 2025,madhya pradesh,datia,652,2765
July 2025,madhya pradesh,dewas,1181,6716
July 2025,madhya pradesh,dhar,2797,10775
July 2025,madhya pradesh,dindori,1309,4380
July 2025,madhya pradesh,guna,1144,7682
July 2025,madhya pradesh,gwalior,1007,5637
July 2025,madhya pradesh,harda,230,1046
July 2025,madhya pradesh,indore,4567,29131
July 2025,madhya pradesh,jabalpur,1453,8464
July 2025,madhya pradesh,katni,1424,4910
July 2025,madhya pradesh,mandla,1369,4131
July 2025,madhya pradesh,mandsaur,1386,4438
July 2025,madhya pradesh,morena,3786,15182
July 2025,madhya pradesh,narmadapuram,80,532
July 2025,madhya pradesh,neemuch,765,3453
July 2025,madhya pradesh,panna,802,3370
July 2025,madhya pradesh,raisen,494,1906
July 2025,madhya pradesh,rajgarh,917,2936
July 2025,madhya pradesh,ratlam,3394,13641
July 2025,madhya pradesh,rewa,381,1135
July 2025,madhya pradesh,sagar,2160,11218
July 2025,madhya pradesh,satna,1972,7002
July 2025,madhya pradesh,sehore,390,1618
July 2025,madhya pradesh,seoni,2356,9342
July 2025,madhya pradesh,shahdol,845,3143
July 2025,madhya pradesh,shajapur,85,511
July 2025,madhya pradesh,sheopur,993,4275
July 2025,madhya pradesh,shivpuri,1350,7429
July 2025,madhya pradesh,singrauli,2102,7229
July 2025,madhya pradesh,tikamgarh,1720,4914
July 2025,madhya pradesh,ujjain,1128,6079
July 2025,madhya pradesh,umaria,1092,3990
July 2025,madhya pradesh,vidisha,2087,6743
July 2025,maharashtra,amravati,312,1704
July 2025,maharashtra,beed,476,2617
July 2025,maharashtra,buldhana,92,849
July 2025,maharashtra,chandrapur,159,1469
July 2025,maharashtra,dhule,396,2756
July 2025,maharashtra,gadchiroli,471,3554
July 2025,maharashtra,jalgaon,256,2016
July 2025,maharashtra,kolhapur,107,626
July 2025,maharashtra,latur,666,4852
July 2025,maharashtra,mumbai suburban,3125,23138
July 2025,maharashtra,nagpur,611,4251
July 2025,maharashtra,nanded,143,781
July 2025,maharashtra,nandurbar,245,1856
July 2025,maharashtra,nashik,1005,6530
July 2025,maharashtra,palghar,277,2609
July 2025,maharashtra,pune,3160,23831
July 2025,maharashtra,raigad,256,2030
July 2025,maharashtra,solapur,224,2532
July 2025,maharashtra,thane,3032,24385
July 2025,maharashtra,wardha,176,1207
July 2025,maharashtra,yavatmal,73,818
July 2025,mizoram,champhai,41,389
July 2025,odisha,balangir,310,1906
July 2025,odisha,kandhamal,648,3748
July 2025,odisha,malkangiri,140,1870
July 2025,puducherry,puducherry,248,1764
July 2025,punjab,amritsar,1560,17010
July 2025,punjab,bathinda,343,4118
July 2025,punjab,faridkot,184,2858
July 2025,punjab,fatehgarh sahib,148,2020
July 2025,punjab,fazilka,641,7169
July 2025,punjab,ferozepur,517,5609
July 2025,punjab,gurdaspur,1969,13995
July 2025,punjab,hoshiarpur,561,6216
July 2025,punjab,jalandhar,268,2536
July 2025,punjab,ludhiana,773,9531
July 2025,punjab,malerkotla,404,4414
July 2025,punjab,mansa,236,2400
July 2025,punjab,moga,296,3410
July 2025,punjab,pathankot,142,1026
July 2025,punjab,patiala,1793,14535
July 2025,punjab,rupnagar,166,1934
July 2025,punjab,sri muktsar sahib,143,1074
July 2025,punjab,tarn taran,191,3546
July 2025,rajasthan,ajmer,861,5744
July 2025,rajasthan,alwar,816,5378
July 2025,rajasthan,baran,545,3835
July 2025,rajasthan,barmer,1134,6398
July 2025,rajasthan,bharatpur,1431,9514
July 2025,rajasthan,bikaner,482,3513
July 2025,rajasthan,bundi,114,496
July 2025,rajasthan,chittorgarh,172,883
July 2025,rajasthan,churu,626,4057
July 2025,rajasthan,dausa,388,1852
July 2025,rajasthan,dholpur,1111,4971
July 2025,rajasthan,ganganagar,174,1141
July 2025,rajasthan,hanumangarh,1041,7729
July 2025,rajasthan,jaipur,2483,20394
July 2025,rajasthan,jaisalmer,464,3040
July 2025,rajasthan,jhalawar,643,2913
July 2025,rajasthan,jodhpur,766,7137
July 2025,rajasthan,kota,1033,5783
July 2025,rajasthan,nagaur,170,948
July 2025,rajasthan,pali,427,3234
July 2025,rajasthan,pratapgarh,832,3932
July 2025,rajasthan,rajsamand,499,3193
July 2025,rajasthan,sawai madhopur,228,2158
July 2025,rajasthan,sikar,241,1810
July 2025,rajasthan,sirohi,639,4007
July 2025,rajasthan,tonk,953,4947
July 2025,rajasthan,udaipur,89,640
July 2025,tamil nadu,erode,115,865
July 2025,tamil nadu,kancheepuram,570,3988
July 2025,tamil nadu,krishnagiri,629,3276
July 2025,tamil nadu,thiruvallur,798,6448
July 2025,tamil nadu,tiruppur,277,1159
July 2025,tamil nadu,virudhunagar,584,4222
July 2025,telangana,adilabad,212,1521
July 2025,telangana,hyderabad,3520,24880
July 2025,telangana,jangoan,102,1304
July 2025,telangana,jogulamba gadwal,465,2489
July 2025,telangana,kamareddy,326,2188
July 2025,telangana,karimnagar,262,1934
July 2025,telangana,khammam,272,1772
July 2025,telangana,mahabubabad,71,764
July 2025,telangana,mahabubnagar,834,5121
July 2025,telangana,medchal malkajgiri,2035,10684
July 2025,telangana,nalgonda,378,2920
July 2025,telangana,nizamabad,298,2113
July 2025,telangana,sangareddy,799,3755
July 2025,telangana,siddipet,132,1038
July 2025,telangana,suryapet,250,1908
July 2025,telangana,vikarabad,606,2993
July 2025,uttar pradesh,agra,415,3159
July 2025,uttar pradesh,aligarh,1067,11142
July 2025,uttar pradesh,amroha,894,8728
July 2025,uttar pradesh,bara banki,392,2922
July 2025,uttar pradesh,bareilly,1805,15633
July 2025,uttar pradesh,bijnor,2387,23053
July 2025,uttar pradesh,bulandshahr,1164,10338
July 2025,uttar pradesh,firozabad,2672,26816
July 2025,uttar pradesh,gautam buddha nagar,3087,28036
July 2025,uttar pradesh,ghaziabad,1921,17038
July 2025,uttar pradesh,kanpur nagar,528,5600
July 2025,uttar pradesh,kaushambi,1102,6566
July 2025,uttar pradesh,kushinagar,2168,14136
July 2025,uttar pradesh,lucknow,1562,17852
July 2025,uttar pradesh,mathura,346,2328
July 2025,uttar pradesh,meerut,1044,10764
July 2025,uttar pradesh,moradabad,1398,14732
July 2025,uttar pradesh,muzaffarnagar,461,4255
July 2025,uttar pradesh,pilibhit,1496,15942
July 2025,uttar pradesh,prayagraj,260,1504
July 2025,uttar pradesh,rampur,2286,26222
July 2025,uttar pradesh,saharanpur,853,10548
July 2025,uttar pradesh,shahjahanpur,1196,11243
July 2025,uttar pradesh,shamli,736,5720
July 2025,uttar pradesh,unnao,365,3185
July 2025,uttarakhand,dehradun,451,5131
July 2025,uttarakhand,nainital,1114,7892
July 2025,uttarakhand,pauri garhwal,412,2840
July 2025,uttarakhand,udham singh nagar,2568,17786
July 2025,west bengal,bankura,243,2136
July 2025,west bengal,birbhum,599,4139
July 2025,west bengal,cooch behar,147,1096
July 2025,west bengal,dakshin dinajpur,289,3397
July 2025,west bengal,hooghly,258,2694
July 2025,west bengal,malda,788,5951
July 2025,west bengal,murshidabad,3911,34021
July 2025,west bengal,paschim medinipur,467,4206
July 2025,west bengal,purba bardhaman,179,1286
July 2025,west bengal,purba medinipur,166,1117
July 2025,west bengal,purulia,347,3595
July 2025,west bengal,south parganas,2977,27871
July 2025,west bengal,uttar dinajpur,3430,42515
September 2025,andaman and nicobar islands,nicobars,2,149
September 2025,andaman and nicobar islands,north and middle andaman,10,240
September 2025,andaman and nicobar islands,south andamans,59,344
September 2025,andhra pradesh,alluri sitharama raju,219,1349
September 2025,andhra pradesh,anakapalli,165,1411
September 2025,andhra pradesh,ananthapuramu,923,5773
September 2025,andhra pradesh,annamayya,265,2058
September 2025,andhra pradesh,bapatla,194,1372
September 2025,andhra pradesh,chittoor,1870,14717
September 2025,andhra pradesh,dr b r ambedkar konaseema,182,1790
September 2025,andhra pradesh,east godavari,1669,17407
September 2025,andhra pradesh,eluru,260,2284
September 2025,andhra pradesh,guntur,1601,17049
September 2025,andhra pradesh,kakinada,307,2810
September 2025,andhra pradesh,krishna,1394,15227
September 2025,andhra pradesh,kurnool,1604,12731
September 2025,andhra pradesh,nandyal,217,1555
September 2025,andhra pradesh,palnadu,247,1869
September 2025,andhra pradesh,parvathipuram manyam,96,848
September 2025,andhra pradesh,prakasam,1440,14937
September 2025,andhra pradesh,sri potti sriramulu nellore,353,2469
September 2025,andhra pradesh,sri sathya sai,250,1802
September 2025,andhra pradesh,srikakulam,1605,11473
September 2025,andhra pradesh,tirupati,377,2762
September 2025,andhra pradesh,visakhapatnam,1834,15181
September 2025,andhra pradesh,vizianagaram,845,8074
September 2025,andhra pradesh,west godavari,1149,14790
September 2025,arunachal pradesh,anjaw,37,171
September 2025,arunachal pradesh,changlang,327,2017
September 2025,arunachal pradesh,dibang valley,1,40
September 2025,arunachal pradesh,east kameng,126,614
September 2025,arunachal pradesh,east siang,135,615
September 2025,arunachal pradesh,kamle,43,190
September 2025,arunachal pradesh,kra daadi,53,84
September 2025,arunachal pradesh,kurung kumey,49,89
September 2025,arunachal pradesh,leparada,2,5
September 2025,arunachal pradesh,lohit,61,441
September 2025,arunachal pradesh,longding,96,453
September 2025,arunachal pradesh,lower dibang valley,35,221
September 2025,arunachal pradesh,lower siang,15,80
September 2025,arunachal pradesh,lower subansiri,51,375
September 2025,arunachal pradesh,namsai,79,500
September 2025,arunachal pradesh,pakke kessang,7,19
September 2025,arunachal pradesh,papum pare,171,825
September 2025,arunachal pradesh,shi yomi,11,28
September 2025,arunachal pradesh,siang,58,150
September 2025,arunachal pradesh,tawang,72,188
September 2025,arunachal pradesh,tirap,12,176
September 2025,arunachal pradesh,upper siang,49,533
September 2025,arunachal pradesh,upper subansiri,87,184
September 2025,arunachal pradesh,west kameng,126,339
September 2025,arunachal pradesh,west siang,199,796
September 2025,assam,bajali,15,210
September 2025,assam,baksa,288,2192
September 2025,assam,barpeta,1066,9856
September 2025,assam,biswanath,173,1906
September 2025,assam,bongaigaon,502,4784
September 2025,assam,cachar,1027,12108
September 2025,assam,charaideo,198,1986
September 2025,assam,chirang,196,1898
September 2025,assam,darrang,923,5467
September 2025,assam,dhemaji,448,3981
September 2025,assam,dhubri,1812,16503
September 2025,assam,dibrugarh,524,6071
September 2025,assam,dima hasao,2,47
September 2025,assam,goalpara,718,6764
September 2025,assam,golaghat,465,4886
September 2025,assam,hailakandi,511,4321
September 2025,assam,hojai,606,4699
September 2025,assam,jorhat,199,2956
September 2025,assam,kamrup,847,8116
September 2025,assam,kamrup metro,468,4178
September 2025,assam,karbi anglong,551,9055
September 2025,assam,kokrajhar,329,2820
September 2025,assam,lakhimpur,910,7043
September 2025,assam,majuli,68,799
September 2025,assam,marigaon,1157,8063
September 2025,assam,nagaon,1713,18902
September 2025,assam,nalbari,512,3824
September 2025,assam,sonitpur,773,7921
September 2025,assam,south salmara mancachar,220,4579
September 2025,assam,sribhumi,22,823
September 2025,assam,tinsukia,345,5280
September 2025,assam,udalguri,261,2804
September 2025,assam,west karbi anglong,13,242
September 2025,bihar,araria,1508,38396
September 2025,bihar,arwal,418,6882
September 2025,bihar,aurangabad,1924,24523
September 2025,bihar,banka,1303,21512
September 2025,bihar,begusarai,2658,29988
September 2025,bihar,bhagalpur,2518,32564
September 2025,bihar,bhojpur,1919,47176
September 2025,bihar,buxar,1253,12554
September 2025,bihar,darbhanga,2447,31908
September 2025,bihar,gaya,4003,48586
September 2025,bihar,gopalganj,1392,18954
September 2025,bihar,jamui,959,15680
September 2025,bihar,jehanabad,819,13437
September 2025,bihar,kaimur bhabua,1238,18505
September 2025,bihar,katihar,1969,40685
September 2025,bihar,khagaria,1645,21675
September 2025,bihar,kishanganj,1168,57853
September 2025,bihar,lakhisarai,805,12276
September 2025,bihar,madhepura,1356,21465
September 2025,bihar,madhubani,2268,34378
September 2025,bihar,munger,857,13465
September 2025,bihar,muzaffarpur,2881,44055
September 2025,bihar,nalanda,2206,61005
September 2025,bihar,nawada,1533,24394
September 2025,bihar,pashchim champaran,8,398
September 2025,bihar,patna,4161,62593
September 2025,bihar,purbi champaran,2,272
September 2025,bihar,purnia,1507,31158
September 2025,bihar,rohtas,2021,26021
September 2025,bihar,saharsa,1281,22698
September 2025,bihar,samastipur,2467,46343
September 2025,bihar,saran,2702,33025
September 2025,bihar,sheikhpura,444,8644
September 2025,bihar,sheohar,410,7465
September 2025,bihar,sitamarhi,2088,33938
September 2025,bihar,siwan,1785,20257
September 2025,bihar,supaul,986,23120
September 2025,bihar,vaishali,2195,33162
September 2025,chandigarh,chandigarh,698,5076
September 2025,chhattisgarh,balod,401,6337
September 2025,chhattisgarh,bastar,724,10997
September 2025,chhattisgarh,bemetara,575,7024
September 2025,chhattisgarh,bijapur,224,1666
September 2025,chhattisgarh,bilaspur,965,12798
September 2025,chhattisgarh,dakshin bastar dantewada,158,801
September 2025,chhattisgarh,dhamtari,321,5922
September 2025,chhattisgarh,durg,1171,8248
September 2025,chhattisgarh,gariyaband,291,4131
September 2025,chhattisgarh,gaurela pendra marwahi,47,414
September 2025,chhattisgarh,janjgir champa,741,9682
September 2025,chhattisgarh,jashpur,522,4687
September 2025,chhattisgarh,kabeerdham,229,2823
September 2025,chhattisgarh,khairagarh chhuikhadan gandai,63,840
September 2025,chhattisgarh,kondagaon,259,3698
September 2025,chhattisgarh,korba,501,6418
September 2025,chhattisgarh,mahasamund,480,7784
September 2025,chhattisgarh,manendragarh chirmiri bharatpur m c b,66,770
September 2025,chhattisgarh,mohla manpur ambagarh chouki,395,2436
September 2025,chhattisgarh,mungeli,306,5050
September 2025,chhattisgarh,narayanpur,110,1119
September 2025,chhattisgarh,raigarh,457,10048
September 2025,chhattisgarh,raipur,797,9287
September 2025,chhattisgarh,rajnandgaon,1011,9708
September 2025,chhattisgarh,sakti,142,1289
September 2025,chhattisgarh,sarangarh bilaigarh,63,1003
September 2025,chhattisgarh,sukma,263,2631
September 2025,chhattisgarh,surajpur,434,7515
September 2025,chhattisgarh,surguja,769,12677
September 2025,chhattisgarh,uttar bastar kanker,150,1962
September 2025,delhi,new delhi,59,369
September 2025,delhi,north east,81,1554
September 2025,delhi,shahdara,240,1503
September 2025,goa,north goa,199,3157
September 2025,goa,south goa,201,2706
September 2025,gujarat,ahmedabad,3333,30996
September 2025,gujarat,amreli,344,4610
September 2025,gujarat,anand,581,6501
September 2025,gujarat,arvalli,264,1245
September 2025,gujarat,banas kantha,1350,11131
September 2025,gujarat,bharuch,645,5442
September 2025,gujarat,bhavnagar,845,8703
September 2025,gujarat,botad,226,1171
September 2025,gujarat,chhotaudepur,346,1632
September 2025,gujarat,dahod,777,5453
September 2025,gujarat,devbhumi dwarka,181,1233
September 2025,gujarat,gandhinagar,673,6238
September 2025,gujarat,gir somnath,247,1738
September 2025,gujarat,jamnagar,698,7256
September 2025,gujarat,junagadh,590,5975
September 2025,gujarat,kachchh,694,7542
September 2025,gujarat,kheda,803,8619
September 2025,gujarat,mahesana,864,6772
September 2025,gujarat,mahisagar,184,1296
September 2025,gujarat,morbi,204,1799
September 2025,gujarat,narmada,363,1947
September 2025,gujarat,navsari,585,3831
September 2025,gujarat,panch mahals,7,76
September 2025,gujarat,patan,497,5171
