state_norm,district_norm,age_0_5,age_5_17,age_18_greater
tamil nadu,thiruvarur,1130,350,1
tamil nadu,thoothukkudi,1367,285,0
tamil nadu,tiruchirappalli,2927,547,0
tamil nadu,tirunelveli,2520,450,0
tamil nadu,tirupathur,2,0,0
tamil nadu,tirupattur,290,28,0
tamil nadu,tiruppur,1601,370,0
tamil nadu,tiruvallur,2715,990,7
tamil nadu,tiruvannamalai,2196,254,3
tamil nadu,tuticorin,1,1,0
tamil nadu,vellore,2746,555,43
tamil nadu,villupuram,2120,355,0
tamil nadu,viluppuram,1587,296,0
tamil nadu,virudhunagar,1531,211,2
telangana,adilabad,945,185,2
telangana,bhadradri kothagudem,1255,309,24
telangana,hanumakonda,318,41,1
telangana,hyderabad,10910,3515,446
telangana,jagitial,487,40,3
telangana,jangaon,22,5,0
telangana,jangoan,310,52,0
telangana,jayashankar bhupalpally,219,62,0
telangana,jogulamba gadwal,544,96,0
telangana,k v rangareddy,4602,1279,67
telangana,kamareddy,703,59,0
telangana,karimnagar,1852,258,1
telangana,khammam,986,617,4
telangana,komaram bheem,366,84,0
telangana,mahabubabad,468,92,0
telangana,mahabubnagar,2881,943,5
telangana,mancherial,324,71,0
telangana,medak,2165,530,2
telangana,medchal malkajgiri,1549,603,64
telangana,mulugu,261,80,3
telangana,nagarkurnool,439,112,1
telangana,nalgonda,1978,454,0
telangana,narayanpet,414,86,0
telangana,nirmal,493,40,1
telangana,nizamabad,2151,222,3
telangana,peddapalli,190,30,2
telangana,rajanna sircilla,239,18,0
telangana,ranga reddy,181,93,10
telangana,rangareddy,71,25,2
telangana,sangareddy,749,134,3
telangana,siddipet,571,59,1
telangana,suryapet,631,113,0
telangana,vikarabad,780,179,1
telangana,wanaparthy,474,142,0
telangana,warangal,864,174,0
telangana,warangal rural,217,24,1
telangana,warangal urban,225,30,1
telangana,yadadri,529,85,0
the dadra and haveli and daman and diu,dadra and haveli,548,141,27
tripura,dhalai,340,303,21
tripura,gomati,204,104,10
tripura,khowai,67,34,29
tripura,north tripura,468,193,22
tripura,sepahijala,475,293,17
tripura,south tripura,443,295,3
tripura,unakoti,161,78,18
tripura,west tripura,730,331,43
uttar pradesh,agra,9640,7912,397
uttar pradesh,aligarh,9116,8227,445
uttar pradesh,allahabad,2532,2234,14
uttar pradesh,ambedkar nagar,1360,1598,26
uttar pradesh,amethi,1317,1171,14
uttar pradesh,amroha,2238,1072,31
uttar pradesh,auraiya,777,615,0
uttar pradesh,ayodhya,567,451,29
uttar pradesh,azamgarh,3152,6711,148
uttar pradesh,baghpat,1370,1558,99
uttar pradesh,bahraich,10689,15987,1664
uttar pradesh,ballia,1352,2014,23
uttar pradesh,balrampur,1931,4495,134
uttar pradesh,banda,2883,3615,144
uttar pradesh,bara banki,2080,1288,32
uttar pradesh,barabanki,1161,780,52
uttar pradesh,bareilly,10550,6326,315
uttar pradesh,basti,1640,1843,25
uttar pradesh,bhadohi,99,92,0
uttar pradesh,bijnor,4702,1627,48
uttar pradesh,budaun,4436,4394,166
uttar pradesh,bulandshahar,42,35,0
uttar pradesh,bulandshahr,3867,3593,109
uttar pradesh,chandauli,2501,3026,145
uttar pradesh,chitrakoot,767,679,3
uttar pradesh,deoria,2023,2418,53
uttar pradesh,etah,4809,3103,131
uttar pradesh,etawah,1976,1519,61
uttar pradesh,faizabad,1426,1063,1
uttar pradesh,farrukhabad,955,1130,27
uttar pradesh,fatehpur,3454,3368,147
uttar pradesh,firozabad,4857,3046,77
uttar pradesh,gautam buddha nagar,5709,6453,467
uttar pradesh,ghaziabad,6561,6299,228
uttar pradesh,ghazipur,1629,2726,11
uttar pradesh,gonda,3568,3821,191
uttar pradesh,gorakhpur,3777,6814,336
uttar pradesh,hamirpur,768,583,11
uttar pradesh,hapur,2514,1700,27
uttar pradesh,hardoi,7799,8217,182
uttar pradesh,hathras,1746,1357,52
uttar pradesh,jalaun,1242,1199,58
uttar pradesh,jaunpur,2350,4609,116
uttar pradesh,jhansi,1567,988,32
uttar pradesh,jyotiba phule nagar,20,11,0
uttar pradesh,kannauj,1437,1723,48
uttar pradesh,kanpur dehat,2260,2366,136
uttar pradesh,kanpur nagar,6388,7659,511
uttar pradesh,kasganj,1716,1775,71
uttar pradesh,kaushambi,1869,1542,48
uttar pradesh,kheri,6394,7575,283
uttar pradesh,kushi nagar,779,777,14
uttar pradesh,kushinagar,1805,2406,16
uttar pradesh,lalitpur,1225,566,26
uttar pradesh,lucknow,6498,5992,329
uttar pradesh,maharajganj,3906,7305,322
uttar pradesh,mahoba,681,397,4
uttar pradesh,mahrajganj,1,0,0
uttar pradesh,mainpuri,2741,3670,131
uttar pradesh,mathura,2233,2728,59
uttar pradesh,mau,838,1773,21
uttar pradesh,meerut,8245,5710,171
uttar pradesh,mirzapur,1405,1748,1
uttar pradesh,moradabad,9769,4258,188
uttar pradesh,muzaffarnagar,3500,2195,72
uttar pradesh,pilibhit,6074,3403,139
uttar pradesh,pratapgarh,1993,1609,6
uttar pradesh,prayagraj,825,834,48
uttar pradesh,rae bareli,1718,1182,17
uttar pradesh,raebareli,0,1,0
uttar pradesh,rampur,8029,5608,254
uttar pradesh,saharanpur,7185,3054,65
uttar pradesh,sambhal,1784,1586,42
uttar pradesh,sant kabir nagar,813,1171,16
uttar pradesh,sant ravidas bhadohi,13,10,0
uttar pradesh,sant ravidas nagar,631,948,2
uttar pradesh,shahjahanpur,9382,8274,359
uttar pradesh,shamli,1794,927,24
uttar pradesh,shravasti,867,1570,98
uttar pradesh,shrawasti,962,1647,84
uttar pradesh,siddharth nagar,1603,2586,152
uttar pradesh,siddharthnagar,2695,4585,232
uttar pradesh,sitapur,10918,9411,537
uttar pradesh,sonbhadra,1218,842,2
uttar pradesh,sultanpur,2592,2853,106
uttar pradesh,unnao,5985,5612,222
uttar pradesh,varanasi,5503,8717,405
uttarakhand,almora,375,33,1
uttarakhand,bageshwar,206,16,0
uttarakhand,chamoli,300,19,2
uttarakhand,champawat,250,38,0
uttarakhand,dehradun,4125,934,106
uttarakhand,garhwal,14,0,0
uttarakhand,hardwar,36,10,0
uttarakhand,haridwar,1707,484,16
uttarakhand,nainital,1353,183,52
uttarakhand,pauri garhwal,481,52,2
uttarakhand,pithoragarh,328,34,5
uttarakhand,rudraprayag,257,24,0
uttarakhand,tehri garhwal,760,123,1
uttarakhand,udham singh nagar,1526,314,5
uttarakhand,uttarkashi,245,48,2
west bangal,howrah,2,1,0
west bengal,alipurduar,1155,1496,305
west bengal,bankura,3459,801,29
west bengal,barddhaman,4863,1099,3
west bengal,bardhaman,521,169,0
west bengal,birbhum,5257,916,68
west bengal,cooch behar,3190,1635,145
west bengal,coochbehar,2140,2087,183
west bengal,dakshin dinajpur,2101,433,40
west bengal,darjeeling,2302,1826,545
west bengal,darjiling,193,70,0
west bengal,dinajpur dakshin,707,256,34
west bengal,dinajpur uttar,6478,4859,334
west bengal,east midnapore,649,121,1
west bengal,haora,777,343,0
west bengal,hawrah,0,1,0
west bengal,hooghly,3932,1581,69
west bengal,howrah,3196,1360,30
west bengal,hugli,47,13,0
west bengal,jalpaiguri,2637,2109,294
west bengal,jhargram,262,74,19
west bengal,kalimpong,120,143,75
west bengal,koch bihar,753,381,3
west bengal,kolkata,2280,2281,373
west bengal,malda,3868,1436,35
west bengal,maldah,402,197,0
west bengal,medinipur,6,1,0
west bengal,medinipur west,325,300,20
west bengal,murshidabad,11782,1528,6
west bengal,nadia,6124,1853,401
west bengal,north dinajpur,85,24,0
west bengal,north parganas,8336,2176,261
west bengal,north twenty four parganas,488,145,1
west bengal,paraganas north,3177,2458,512
west bengal,paraganas south,364,104,22
west bengal,paschim bardhaman,319,117,13
west bengal,paschim medinipur,4828,1384,18
west bengal,purba bardhaman,939,153,31
west bengal,purba medinipur,4865,499,13
west bengal,purulia,198,92,0
west bengal,puruliya,3776,1245,32
west bengal,south dinajpur,128,20,0
west bengal,south parganas,8186,2825,47
west bengal,south twenty four parganas,1059,386,1
west bengal,uttar dinajpur,8447,4145,254
west bengal,west midnapore,566,214,1
westbengal,hooghly,2,1,0
